,diameter,baseline_subtracted,eid,subject,trial,trial_after_switch,transition_from,contrast,time,Stim_side,Feedback_type,probabilityLeft,after_switch
0,69.86906387579397,18.56632386279564,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,-1.0,-1,-1.0,0.5,0-10 trials
1,60.78330181882757,9.48056180582924,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,-0.8,-1,-1.0,0.5,0-10 trials
2,51.047179166606625,-0.2555608463917025,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,-0.6000000000000001,-1,-1.0,0.5,0-10 trials
3,47.69107211122715,-3.6116679017711775,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,-0.40000000000000013,-1,-1.0,0.5,0-10 trials
4,51.07017002298683,-0.23256999001149836,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,-0.20000000000000018,-1,-1.0,0.5,0-10 trials
5,44.42121737669674,-6.88152263630159,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,-2.220446049250313e-16,-1,-1.0,0.5,0-10 trials
6,26.02966939878633,-25.273070614212,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,0.19999999999999973,-1,-1.0,0.5,0-10 trials
7,38.249843328947655,-13.052896684050673,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,0.3999999999999997,-1,-1.0,0.5,0-10 trials
8,52.03039959654123,0.727659583542902,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,0.5999999999999996,-1,-1.0,0.5,0-10 trials
9,50.92091099772549,-0.3818290152728352,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,0.7999999999999996,-1,-1.0,0.5,0-10 trials
10,58.65727173055916,7.354531717560832,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,0.9999999999999996,-1,-1.0,0.5,0-10 trials
11,70.71430776391503,19.411567750916703,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,1.1999999999999993,-1,-1.0,0.5,0-10 trials
12,84.49209106007552,33.189351047077196,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,1.3999999999999995,-1,-1.0,0.5,0-10 trials
13,89.12044997676342,37.8177099637651,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,1.5999999999999996,-1,-1.0,0.5,0-10 trials
14,85.68772483043851,34.384984817440184,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,1.7999999999999994,-1,-1.0,0.5,0-10 trials
15,91.42793319325102,40.125193180252694,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,1.9999999999999991,-1,-1.0,0.5,0-10 trials
16,94.93877077855782,43.6360307655595,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,2.1999999999999993,-1,-1.0,0.5,0-10 trials
17,93.62712703099999,42.32438701800166,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,2.3999999999999995,-1,-1.0,0.5,0-10 trials
18,103.7964230110824,52.49368299808407,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,2.599999999999999,-1,-1.0,0.5,0-10 trials
19,107.76025009516157,56.45751008216324,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,2.799999999999999,-1,-1.0,0.5,0-10 trials
20,92.28747043298176,40.984730419983435,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,0,0,,-1.0,2.999999999999999,-1,-1.0,0.5,0-10 trials
0,69.37018047394257,36.53315009323222,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,-1.0,1,1.0,0.5,0-10 trials
1,46.86559440632038,14.028564025610038,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,-0.8,1,1.0,0.5,0-10 trials
2,36.965939995650004,4.1289096149396585,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,-0.6000000000000001,1,1.0,0.5,0-10 trials
3,25.043738743278823,-7.793291637431523,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,-0.40000000000000013,1,1.0,0.5,0-10 trials
4,21.297277512585435,-11.53975286812491,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,-0.20000000000000018,1,1.0,0.5,0-10 trials
5,29.36589784930996,-3.471132531400386,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,-2.220446049250313e-16,1,1.0,0.5,0-10 trials
6,26.37283899616761,-6.464191384542737,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,0.19999999999999973,1,1.0,0.5,0-10 trials
7,30.26971956077351,-2.5673108199368357,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,0.3999999999999997,1,1.0,0.5,0-10 trials
8,43.20861542569645,10.371585044986105,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,0.5999999999999996,1,1.0,0.5,0-10 trials
9,57.709183060187755,24.87215267947741,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,0.7999999999999996,1,1.0,0.5,0-10 trials
10,50.382177683401935,17.54514730269159,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,0.9999999999999996,1,1.0,0.5,0-10 trials
11,57.08390897945958,24.246878598749234,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,1.1999999999999993,1,1.0,0.5,0-10 trials
12,59.91138973930899,27.07435935859864,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,1.3999999999999995,1,1.0,0.5,0-10 trials
13,56.942565195009806,24.10553481429946,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,1.5999999999999996,1,1.0,0.5,0-10 trials
14,62.04864746197218,29.211617081261835,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,1.7999999999999994,1,1.0,0.5,0-10 trials
15,61.97245472541804,29.135424344707694,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,1.9999999999999991,1,1.0,0.5,0-10 trials
16,60.5487920276001,27.711761646889755,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,2.1999999999999993,1,1.0,0.5,0-10 trials
17,56.79388953602779,23.956859155317446,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,2.3999999999999995,1,1.0,0.5,0-10 trials
18,53.03898704445551,20.201956663745165,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,2.599999999999999,1,1.0,0.5,0-10 trials
19,49.28408455288323,16.447054172172884,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,2.799999999999999,1,1.0,0.5,0-10 trials
20,45.529182061310934,12.692151680600588,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,1,1,,0.125,2.999999999999999,1,1.0,0.5,0-10 trials
0,61.837424968490225,7.5468037601772835,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,2,2,,-0.25,-1.0,-1,-1.0,0.5,0-10 trials
1,59.922974945671356,5.6323537373584145,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,2,2,,-0.25,-0.8,-1,-1.0,0.5,0-10 trials
2,56.16807245409909,1.8774512457861476,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,2,2,,-0.25,-0.6000000000000001,-1,-1.0,0.5,0-10 trials
3,52.413169962526794,-1.8774512457861476,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,2,2,,-0.25,-0.40000000000000013,-1,-1.0,0.5,0-10 trials
4,48.65826747095451,-5.632353737358429,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,2,2,,-0.25,-0.20000000000000018,-1,-1.0,0.5,0-10 trials
5,44.90336497938222,-9.387256228930724,9598d948-1fdb-4e40-b9d4-32034775b4f5,ZFM-01934,2,2,,-0.25,-2.220446049250313e-16,-1,-1.0,0.5,0-10 trials
