time,probabilityLeft,trial_after_switch,transition_from,contrast,Feedback_type,Stim_side,diameter,baseline_subtracted,trial
-1.0,0.2,0,0.5,1.0,1.0,1,50.27391444043856,10.362430527603856,90.0
-1.0,0.2,0,0.8,-0.0,-1.0,1,62.37715414603696,2.8062311649612752,559.0
-1.0,0.2,0,0.8,0.0625,-1.0,1,42.13628555010955,1.1795773230592665,540.0
-1.0,0.2,0,0.8,0.0625,1.0,1,27.76080709450698,7.37770094134579,621.0
-1.0,0.2,0,0.8,0.125,1.0,1,55.92365021433865,6.695303036913202,265.0
-1.0,0.2,0,0.8,0.25,1.0,1,31.085303321711915,-0.3821593066980551,383.6666666666667
-1.0,0.2,0,0.8,1.0,1.0,1,6.311533166617221,-0.10385834311659181,484.25
-1.0,0.2,1,0.5,0.0625,-1.0,1,54.99275749711217,6.802620691376383,91.0
-1.0,0.2,1,0.8,-0.125,-1.0,-1,49.45811720119923,7.82304032018309,833.0
-1.0,0.2,1,0.8,-0.125,1.0,-1,36.586940045685914,-1.091491765942191,546.5
-1.0,0.2,1,0.8,-0.0,1.0,1,34.62081885897577,-20.60614649545594,551.0
-1.0,0.2,1,0.8,0.0625,-1.0,1,75.05067399878968,24.124691965230852,266.0
-1.0,0.2,1,0.8,0.0625,1.0,1,34.009412513701626,-10.45968142161474,462.0
-1.0,0.2,1,0.8,0.125,1.0,1,68.658408608737,0.10144284601184683,427.75
-1.0,0.2,1,0.8,0.25,-1.0,1,43.34253000045577,7.983649798402524,357.0
-1.0,0.2,1,0.8,0.25,1.0,1,71.42188132339602,0.10364160104927105,294.6666666666667
-1.0,0.2,1,0.8,1.0,1.0,1,18.117957801985668,-0.3443062251647717,622.0
-1.0,0.2,2,0.5,0.0625,1.0,1,63.59827463633219,24.244041706063484,92.0
-1.0,0.2,2,0.8,-0.25,1.0,-1,5.754746602359508,-6.350766272799521,834.0
-1.0,0.2,2,0.8,-0.125,1.0,-1,73.5807980781789,9.476478040919233,448.0
-1.0,0.2,2,0.8,-0.0,-1.0,1,49.42417989090853,-25.0803756552705,358.0
-1.0,0.2,2,0.8,-0.0,1.0,1,43.51326425763101,2.6543651531791213,561.0
-1.0,0.2,2,0.8,0.0625,1.0,1,52.21027505169659,-8.675396507213136,247.66666666666666
-1.0,0.2,2,0.8,0.125,-1.0,1,89.34013406717673,3.4262534036223826,124.0
-1.0,0.2,2,0.8,0.125,1.0,1,26.18782171780868,-9.411418914624779,425.5
-1.0,0.2,2,0.8,0.25,1.0,1,32.76210969975948,-4.363684679252776,476.25
-1.0,0.2,2,0.8,1.0,1.0,1,47.86246673169181,9.09478618127639,970.0
-1.0,0.2,3,0.5,0.0625,1.0,1,51.80817854549123,-3.151557770694012,93.0
-1.0,0.2,3,0.8,-1.0,1.0,-1,56.68964127281123,-16.51231206445607,449.0
-1.0,0.2,3,0.8,-0.25,1.0,-1,50.127321834346674,16.622230222383003,464.0
-1.0,0.2,3,0.8,-0.125,-1.0,-1,49.50445284575267,7.524653447336846,562.0
-1.0,0.2,3,0.8,-0.0625,1.0,-1,23.399750349430377,-16.222195447549147,359.0
-1.0,0.2,3,0.8,-0.0,-1.0,1,35.362590247757666,12.678394818952157,126.0
-1.0,0.2,3,0.8,-0.0,1.0,1,67.88968183601868,1.4317128655825293,426.0
-1.0,0.2,3,0.8,0.0625,1.0,1,42.37888832699742,-6.597318319714773,420.5
-1.0,0.2,3,0.8,0.125,1.0,1,40.632381000650206,-18.453530613382192,479.25
-1.0,0.2,3,0.8,0.25,1.0,1,48.802517080085636,6.3030972571968675,619.5
-1.0,0.2,4,0.5,-0.125,-1.0,-1,58.705571196771324,10.403182405658711,94.0
-1.0,0.2,4,0.8,-1.0,1.0,-1,45.38781451371422,-5.106849198807808,127.0
-1.0,0.2,4,0.8,-0.125,-1.0,-1,91.81654392306652,18.992062483876282,317.0
-1.0,0.2,4,0.8,-0.125,1.0,-1,54.997593582147374,7.50853922635028,126.0
-1.0,0.2,4,0.8,-0.0625,-1.0,-1,37.43470514193484,-6.3135369894413955,554.0
-1.0,0.2,4,0.8,-0.0,-1.0,1,83.46652687415491,6.657511398959144,563.0
-1.0,0.2,4,0.8,-0.0,1.0,1,24.908734721488152,-0.7782669721246052,218.0
-1.0,0.2,4,0.8,0.0625,1.0,1,53.40897789322859,14.90236877078482,403.6666666666667
-1.0,0.2,4,0.8,0.125,1.0,1,32.855418860458656,-3.034382827456149,643.0
-1.0,0.2,4,0.8,0.25,1.0,1,23.424025114027785,-6.207469367791239,718.5
-1.0,0.2,4,0.8,1.0,1.0,1,32.08370643556306,2.858253970297575,492.5
-1.0,0.2,5,0.5,0.25,1.0,1,86.49962864413416,1.0251090677298862,95.0
-1.0,0.2,5,0.8,-0.25,1.0,-1,37.93998130574852,-8.74633927112663,555.0
-1.0,0.2,5,0.8,-0.125,-1.0,-1,28.055591679564053,-25.163786727239653,270.0
-1.0,0.2,5,0.8,-0.0625,-1.0,-1,50.85730665642786,2.6393964960295193,564.0
-1.0,0.2,5,0.8,-0.0,-1.0,-1,36.22518455007539,-0.9168837188511603,219.0
-1.0,0.2,5,0.8,-0.0,-1.0,1,64.6093885080366,-14.166862553286776,318.0
-1.0,0.2,5,0.8,0.0625,1.0,1,48.37545960752153,8.895637796284918,444.0
-1.0,0.2,5,0.8,0.125,1.0,1,49.800086911286236,11.474238734608392,523.3333333333334
-1.0,0.2,5,0.8,0.25,1.0,1,32.39070221985899,7.3045405942281185,522.3333333333334
-1.0,0.2,6,0.5,-1.0,1.0,-1,49.36776170755668,2.547039019212775,96.0
-1.0,0.2,6,0.8,-0.25,-1.0,-1,37.42972186917869,16.516649887100414,556.0
-1.0,0.2,6,0.8,-0.125,-1.0,-1,37.446416138603006,-15.97694989500048,467.0
-1.0,0.2,6,0.8,-0.125,1.0,-1,26.602910889636483,-4.5472763077202,220.0
-1.0,0.2,6,0.8,-0.0,-1.0,1,21.049453490464135,-1.782067781934007,129.0
-1.0,0.2,6,0.8,0.0625,1.0,1,35.19500362964514,2.621621534062726,701.5
-1.0,0.2,6,0.8,0.125,1.0,1,68.46416981709457,-4.725050213962412,267.5
-1.0,0.2,6,0.8,0.25,1.0,1,62.732664052924974,1.7066975030323102,459.8
-1.0,0.2,6,0.8,1.0,1.0,1,37.87436723603224,-3.0928556442669546,622.5
-1.0,0.2,7,0.5,0.125,1.0,1,41.93496827411498,0.7586747869536765,97.0
-1.0,0.2,7,0.8,-0.25,1.0,-1,14.33004805736086,0.26660821977441884,557.0
-1.0,0.2,7,0.8,-0.125,-1.0,-1,10.946415649074302,1.0763201121373545,731.0
-1.0,0.2,7,0.8,-0.0625,-1.0,-1,31.366964167250046,5.804302352290282,628.0
-1.0,0.2,7,0.8,-0.0,-1.0,-1,23.681486335761754,-1.853851191028511,975.0
-1.0,0.2,7,0.8,0.0625,-1.0,1,6.2611005462104625,-5.254223377554434,130.0
-1.0,0.2,7,0.8,0.0625,1.0,1,55.12543646358074,1.0073817912401495,224.5
-1.0,0.2,7,0.8,0.125,1.0,1,44.71961717748395,-8.017477289862505,418.3333333333333
-1.0,0.2,7,0.8,0.25,1.0,1,60.37569042303489,5.433328786165809,528.0
-1.0,0.2,7,0.8,1.0,1.0,1,40.60735848945111,1.3246832824089718,362.6666666666667
-1.0,0.2,8,0.5,1.0,1.0,1,63.12909112358602,0.5665110790708852,98.0
-1.0,0.2,8,0.8,-0.25,1.0,-1,51.27120278407334,11.183112031302585,629.0
-1.0,0.2,8,0.8,-0.125,1.0,-1,35.38048473824834,-7.768970209902896,364.0
-1.0,0.2,8,0.8,-0.0625,-1.0,-1,17.876811428441783,5.581084649552125,840.0
-1.0,0.2,8,0.8,-0.0625,1.0,-1,38.612268114668794,17.59390012906992,222.0
-1.0,0.2,8,0.8,-0.0,1.0,1,32.56761517467579,-9.08872041014493,513.5
-1.0,0.2,8,0.8,0.0625,1.0,1,47.9472398518187,-2.852547560583121,305.3333333333333
-1.0,0.2,8,0.8,0.125,1.0,1,44.327784827160585,3.6991113105261904,551.2
-1.0,0.2,8,0.8,0.25,1.0,1,89.72988720745593,24.63896407758409,130.0
-1.0,0.2,9,0.5,1.0,1.0,1,80.31472252437601,-9.758376299711614,99.0
-1.0,0.2,9,0.8,-0.25,1.0,-1,35.48297437786691,-22.26932568611312,470.0
-1.0,0.2,9,0.8,-0.125,1.0,-1,36.57907386879273,8.803442718878038,559.0
-1.0,0.2,9,0.8,-0.0625,-1.0,-1,40.22438266865461,7.127388961275869,365.0
-1.0,0.2,9,0.8,-0.0625,1.0,-1,15.8305160679709,-2.0542289904683013,132.0
-1.0,0.2,9,0.8,-0.0,-1.0,-1,40.30088497529735,2.683786252108497,630.0
-1.0,0.2,9,0.8,-0.0,1.0,1,57.33130522280582,-6.185639469816801,486.0
-1.0,0.2,9,0.8,0.125,1.0,1,44.99462148796174,11.127336079814924,511.5
-1.0,0.2,9,0.8,1.0,1.0,1,49.184166972895184,0.44063853669664227,458.0
-1.0,0.2,10,0.5,-0.0,-1.0,1,59.72137807872154,-10.48302393268169,100.0
-1.0,0.2,10,0.8,-1.0,1.0,-1,39.73365766691042,-1.4826094235981495,773.5
-1.0,0.2,10,0.8,-0.0,-1.0,1,41.35065688863199,-16.83144352488094,631.0
-1.0,0.2,10,0.8,-0.0,1.0,1,71.66058563972248,-20.529695619460156,456.0
-1.0,0.2,10,0.8,0.0625,1.0,1,32.669964385165635,-4.915163126572589,504.5
-1.0,0.2,10,0.8,0.125,1.0,1,36.71754829090382,2.430840214007333,447.1666666666667
-1.0,0.2,10,0.8,0.25,1.0,1,40.874871725346196,18.800003100281298,133.0
-1.0,0.2,10,0.8,1.0,1.0,1,78.48385044887316,2.241347311938327,227.5
-1.0,0.2,11,0.5,0.125,1.0,1,104.15983905453123,9.925536090240968,101.0
-1.0,0.2,11,0.8,-0.125,-1.0,-1,34.40294934958223,-24.286270939503815,472.0
-1.0,0.2,11,0.8,-0.0625,-1.0,-1,8.74027157723188,-11.945449857830674,979.0
-1.0,0.2,11,0.8,-0.0,1.0,1,33.65763001633937,-2.5795856316010415,488.5
-1.0,0.2,11,0.8,0.0625,1.0,1,44.72719550295106,0.16219338525726812,343.25
-1.0,0.2,11,0.8,0.125,1.0,1,40.33403192640469,-0.892511967445401,735.0
-1.0,0.2,11,0.8,0.25,1.0,1,46.996214430586754,-0.5264771380305812,471.3333333333333
-1.0,0.2,11,0.8,1.0,1.0,1,54.87534141570903,-7.9152307425498165,326.3333333333333
-1.0,0.2,12,0.5,1.0,1.0,1,60.469988140722265,41.94010159025652,102.0
-1.0,0.2,12,0.8,-0.25,-1.0,-1,87.29329437227013,8.163047774592812,325.0
-1.0,0.2,12,0.8,-0.0625,-1.0,-1,49.91853880900759,26.368450690408526,368.0
-1.0,0.2,12,0.8,-0.0,-1.0,-1,46.92977359482147,23.657360062758876,226.0
-1.0,0.2,12,0.8,-0.0,1.0,1,84.9865224306059,7.0239772808838055,352.5
-1.0,0.2,12,0.8,0.0625,1.0,1,32.078470436548535,-11.876892147319747,206.0
-1.0,0.2,12,0.8,0.125,1.0,1,36.84736844992264,-9.770094856530221,551.0
-1.0,0.2,12,0.8,0.25,1.0,1,42.53414417288764,-6.839614444020029,604.5
-1.0,0.2,12,0.8,1.0,1.0,1,36.80933324435745,3.446548017530194,682.0
-1.0,0.2,13,0.5,1.0,1.0,1,44.44288745914681,-5.531470403655668,103.0
-1.0,0.2,13,0.8,-1.0,1.0,-1,41.90062837805066,-43.218887205343925,227.0
-1.0,0.2,13,0.8,-0.125,1.0,-1,73.02905186888111,-5.683378361251471,326.0
-1.0,0.2,13,0.8,-0.0,1.0,1,45.365996832583974,-6.047298741581081,603.0
-1.0,0.2,13,0.8,0.0625,-1.0,1,80.75522250704458,38.9528704629184,278.0
-1.0,0.2,13,0.8,0.0625,1.0,1,42.150334234869696,8.765162998680935,737.0
-1.0,0.2,13,0.8,0.125,1.0,1,41.35718430638559,6.82712102953068,446.6666666666667
