time,probabilityLeft,trial_after_switch,transition_from,contrast,Feedback_type,Stim_side,diameter,baseline_subtracted,trial
-1.0,0.2,0,0.5,1.0,1.0,1,99.95542085221199,0.7795259726604371,90.0
-1.0,0.2,0,0.8,0.0625,-1.0,1,40.67520052926351,0.13520097734524228,486.5
-1.0,0.2,0,0.8,0.125,1.0,1,54.5868199671547,-3.1816833448041777,417.0
-1.0,0.2,0,0.8,0.25,1.0,1,50.70887492110762,-6.929848303165243,281.3333333333333
-1.0,0.2,0,0.8,1.0,1.0,1,23.227216827288792,-3.3627975468904783,261.5
-1.0,0.2,1,0.5,0.0625,-1.0,1,78.44845871620049,-11.372050649759018,91.0
-1.0,0.2,1,0.8,-1.0,1.0,-1,86.2193742214044,21.72681449948891,295.0
-1.0,0.2,1,0.8,-0.25,1.0,-1,46.996072315366476,2.961475267553709,680.0
-1.0,0.2,1,0.8,0.0625,-1.0,1,43.20233713828739,11.66922382556749,467.0
-1.0,0.2,1,0.8,0.125,1.0,1,16.043421331160044,-11.459526466805794,211.0
-1.0,0.2,1,0.8,0.25,1.0,1,5.751140469310926,-6.907843566206548,218.5
-1.0,0.2,1,0.8,1.0,1.0,1,60.22265579111753,2.3266779157447672,208.0
-1.0,0.2,2,0.5,0.0625,-1.0,1,55.39782923067574,-21.25659566083546,92.0
-1.0,0.2,2,0.8,-1.0,1.0,-1,47.67499547545559,3.1119090588602916,517.0
-1.0,0.2,2,0.8,0.0,-1.0,1,40.76861888584494,7.311827076308681,296.0
-1.0,0.2,2,0.8,0.0625,-1.0,1,18.50202559716155,0.3976047354481764,212.0
-1.0,0.2,2,0.8,0.0625,1.0,1,19.44412528166568,20.30649217602752,315.0
-1.0,0.2,2,0.8,0.125,-1.0,1,24.67968432109776,7.757603142351847,124.0
-1.0,0.2,2,0.8,1.0,1.0,1,51.90671496158069,2.83917680459914,436.3333333333333
-1.0,0.2,3,0.5,0.0625,-1.0,1,75.80638844622086,-12.467880050493534,93.0
-1.0,0.2,3,0.8,-1.0,1.0,-1,60.34377942573792,3.419268903823479,518.0
-1.0,0.2,3,0.8,-0.25,1.0,-1,75.14879527522604,-0.19627992250059378,210.0
-1.0,0.2,3,0.8,0.0,-1.0,1,18.985302853830326,1.8196086744905529,125.0
-1.0,0.2,3,0.8,0.125,1.0,1,29.74240013518937,-7.210986556372572,316.3333333333333
-1.0,0.2,3,0.8,0.25,1.0,1,46.52640812919222,12.916327903769286,682.0
-1.0,0.2,3,0.8,1.0,1.0,1,16.96569452545924,-0.13156447824186301,297.0
-1.0,0.2,4,0.5,-0.125,1.0,-1,59.004448085737124,-6.054091730647514,94.0
