time,probabilityLeft,trial_after_switch,transition_from,contrast,Feedback_type,Stim_side,diameter,baseline_subtracted,trial
-1.0,0.2,0,0.8,0.25,1.0,1,43.63592779880419,5.330705333934233,122.0
-1.0,0.2,0,0.8,1.0,1.0,1,4.77245535046865,-6.51411695735729,261.5
-1.0,0.2,1,0.8,0.125,1.0,1,37.129133467572146,-10.209723359657971,211.0
-1.0,0.2,1,0.8,0.25,-1.0,1,34.80444522651655,10.225010166574577,314.0
-1.0,0.2,1,0.8,0.25,1.0,1,63.95664502620632,14.240702053239275,123.0
-1.0,0.2,2,0.8,0.0625,-1.0,1,18.045473672070166,23.31914948376073,212.0
-1.0,0.2,2,0.8,0.0625,1.0,1,98.64088789481356,0.24086283080541193,315.0
-1.0,0.2,2,0.8,0.125,1.0,1,32.202911500112904,5.4280629199329695,124.0
-1.0,0.2,3,0.8,0.0,-1.0,1,31.842559502929475,7.031182909002478,125.0
-1.0,0.2,3,0.8,0.125,-1.0,1,51.63164378245042,24.283854134670925,213.0
-1.0,0.2,3,0.8,0.125,1.0,1,59.70363097611107,23.891973787939698,316.0
-1.0,0.2,4,0.8,-0.125,-1.0,-1,38.604851167495966,-3.851247478983467,317.0
-1.0,0.2,4,0.8,-0.125,1.0,-1,19.43017338893662,-2.874531725269531,126.0
-1.0,0.2,4,0.8,0.0625,-1.0,1,2.812927645391585,-4.622236857358884,214.0
-1.0,0.2,5,0.8,0.0,-1.0,1,10.789452200599051,-6.267444028888711,318.0
-1.0,0.2,5,0.8,0.0625,-1.0,1,53.54208359037087,-29.898907328025935,127.0
-1.0,0.2,5,0.8,0.125,1.0,1,12.508556717257752,-8.65822451657048,215.0
-1.0,0.2,6,0.8,0.125,-1.0,1,31.42141542786173,-7.6853155683750884,216.0
-1.0,0.2,6,0.8,0.125,1.0,1,14.458488824969667,-11.927410377847291,319.0
-1.0,0.2,6,0.8,0.25,1.0,1,94.63503494845469,18.58056308976269,128.0
-1.0,0.2,7,0.8,0.0625,-1.0,1,52.00763439419406,0.9063853025827839,129.0
-1.0,0.2,7,0.8,0.0625,1.0,1,33.83939242837312,20.002609046816126,320.0
-1.0,0.2,7,0.8,0.25,1.0,1,-0.215133267614071,-12.83788239415161,217.0
-1.0,0.2,8,0.8,0.0625,1.0,1,64.6409153804876,-4.3551756185415655,218.0
-1.0,0.2,8,0.8,0.125,-1.0,1,36.685423500974196,0.646538830743566,321.0
-1.0,0.2,8,0.8,0.25,1.0,1,34.96678677814538,8.741508768979003,130.0
-1.0,0.2,9,0.8,0.0,1.0,1,116.42795890358121,22.859324639496293,131.0
-1.0,0.2,9,0.8,1.0,1.0,1,36.764463607996994,-14.256561286670507,270.5
-1.0,0.2,10,0.8,0.125,-1.0,1,31.245149089782856,5.066674366571458,220.0
-1.0,0.2,10,0.8,1.0,1.0,1,69.94442188823251,9.422692323307533,227.5
-1.0,0.2,11,0.8,0.0625,1.0,1,59.36890176904451,2.674233853823104,324.0
-1.0,0.2,11,0.8,0.25,1.0,1,19.72158579995157,-8.312128389253495,221.0
-1.0,0.2,11,0.8,1.0,1.0,1,48.61676899615151,17.082833309529526,133.0
-1.0,0.2,12,0.8,-0.25,-1.0,-1,56.38530198307126,3.8131570735135796,325.0
-1.0,0.2,12,0.8,0.0,-1.0,1,29.336598503429855,2.875038136975931,134.0
-1.0,0.2,12,0.8,1.0,1.0,1,37.73748181194357,7.142602321187493,222.0
-1.0,0.2,13,0.8,-0.125,1.0,-1,59.66893719720449,-12.17221777863292,326.0
-1.0,0.2,13,0.8,0.125,1.0,1,28.223259950442145,23.55353502506302,223.0
-1.0,0.2,13,0.8,1.0,1.0,1,15.201071111140731,-2.420297195156092,135.0
-1.0,0.2,14,0.8,-0.25,1.0,-1,57.16107345937937,-0.29988913945705065,327.0
-1.0,0.2,14,0.8,0.0,-1.0,1,18.22872491794264,4.74915647198061,224.0
-1.0,0.2,14,0.8,0.0,1.0,1,46.55691461103952,-6.742460879357829,136.0
-1.0,0.2,15,0.8,-0.0625,1.0,-1,23.35879031377106,-4.430847922596245,276.5
-1.0,0.2,15,0.8,0.0,-1.0,1,30.28026892754308,-2.8298172448010313,137.0
-1.0,0.2,16,0.8,-0.25,1.0,-1,4.78948128581458,-8.38056732546826,138.0
-1.0,0.2,16,0.8,0.0625,-1.0,1,78.2676757590219,-5.172562276036217,226.0
-1.0,0.2,16,0.8,0.0625,1.0,1,45.38039983797458,30.256329909380007,329.0
-1.0,0.2,17,0.8,-0.125,1.0,-1,73.6478488467024,11.809901315576823,330.0
-1.0,0.2,17,0.8,0.0,-1.0,1,61.36600981294812,7.5148845387550125,227.0
-1.0,0.2,17,0.8,0.25,1.0,1,37.46184905134843,-3.0271473969057254,139.0
-1.0,0.2,18,0.8,-0.0625,1.0,-1,41.142885307874195,6.069850234619068,331.0
-1.0,0.2,18,0.8,0.125,-1.0,1,105.65625733579603,25.468180493660512,228.0
-1.0,0.2,18,0.8,0.125,1.0,1,46.48589569683517,-8.44898905522993,140.0
-1.0,0.2,19,0.8,-1.0,1.0,-1,22.415837940748403,4.801276651714009,141.0
-1.0,0.2,19,0.8,0.0625,-1.0,1,45.58308881129317,-3.8827779746863413,332.0
-1.0,0.2,19,0.8,1.0,1.0,1,60.25390371687486,3.7219826553032718,229.0
-1.0,0.2,20,0.8,-0.125,1.0,-1,72.21213158425095,-8.091773538530418,333.0
-1.0,0.2,20,0.8,0.25,1.0,1,20.8910653344726,-8.512584113736295,142.0
-1.0,0.2,20,0.8,1.0,1.0,1,31.850261290804497,3.951987735891784,230.0
-1.0,0.2,21,0.8,0.0,1.0,1,51.863856902652145,17.69164436606664,334.0
-1.0,0.2,21,0.8,0.0625,-1.0,1,38.825137706147885,-2.1024872151430998,231.0
-1.0,0.2,21,0.8,0.25,1.0,1,11.913161963205702,-1.1677186463857971,143.0
-1.0,0.2,22,0.8,-0.0625,-1.0,-1,19.523444665335667,-1.1384388428513823,232.0
-1.0,0.2,22,0.8,0.0,1.0,1,39.140064790897284,13.030150300449336,335.0
-1.0,0.2,22,0.8,1.0,1.0,1,6.2076152435338265,-3.2229407549093114,144.0
-1.0,0.2,23,0.8,-0.125,1.0,-1,21.27538748469011,-10.317840343733547,145.0
-1.0,0.2,23,0.8,0.0,1.0,1,25.354026973781984,-1.9607545325850246,336.0
-1.0,0.2,23,0.8,0.125,1.0,1,12.145395050930468,-18.623827688147465,233.0
-1.0,0.2,24,0.8,-0.25,-1.0,-1,67.9236497440128,5.553288746974019,337.0
-1.0,0.2,24,0.8,0.0,1.0,1,80.2249718422799,26.255191414572337,234.0
-1.0,0.2,24,0.8,0.125,1.0,1,6.702132451280767,1.676712749351002,146.0
-1.0,0.2,25,0.8,-0.125,-1.0,-1,-8.443435221356761,3.696682904283694,147.0
-1.0,0.2,25,0.8,0.125,1.0,1,56.59839487336926,-1.5477977440624784,338.0
-1.0,0.2,25,0.8,1.0,1.0,1,20.25423029953371,-0.19969879558162162,235.0
-1.0,0.2,26,0.8,-1.0,1.0,-1,23.284319965361995,18.540036648085856,236.0
-1.0,0.2,26,0.8,0.25,1.0,1,28.3217720765499,3.515870351308317,243.5
-1.0,0.2,27,0.8,0.0625,-1.0,1,21.67379324073874,9.365203397990875,340.0
