,diameter,baseline_subtracted,eid,subject,trial,trial_after_switch,transition_from,contrast,time,Stim_side,Feedback_type,probabilityLeft,after_switch
0,,,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,-1.0,-1,1.0,0.5,0-10 trials
1,,,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,-0.8,-1,1.0,0.5,0-10 trials
2,,,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,-0.6000000000000001,-1,1.0,0.5,0-10 trials
3,6.985838442312623,2.588931895855822,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,-0.40000000000000013,-1,1.0,0.5,0-10 trials
4,4.710372876070416,0.31346632961361465,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,-0.20000000000000018,-1,1.0,0.5,0-10 trials
5,1.5499928936118401,-2.846913652844961,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,-2.220446049250313e-16,-1,1.0,0.5,0-10 trials
6,2.242739081473297,-2.1541674649835043,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,0.19999999999999973,-1,1.0,0.5,0-10 trials
7,8.61087231744103,4.213965770984229,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,0.3999999999999997,-1,1.0,0.5,0-10 trials
8,31.616280590716464,27.219374044259663,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,0.5999999999999996,-1,1.0,0.5,0-10 trials
9,47.806511183238555,43.40960463678175,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,0.7999999999999996,-1,1.0,0.5,0-10 trials
10,50.79416863850103,46.39726209204423,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,0.9999999999999996,-1,1.0,0.5,0-10 trials
11,45.87206002922372,41.47515348276691,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,1.1999999999999993,-1,1.0,0.5,0-10 trials
12,42.07545321121215,37.678546664755345,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,1.3999999999999995,-1,1.0,0.5,0-10 trials
13,49.250269824288864,44.85336327783206,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,1.5999999999999996,-1,1.0,0.5,0-10 trials
14,56.77817503481454,52.38126848835773,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,1.7999999999999994,-1,1.0,0.5,0-10 trials
15,59.794253836203524,55.39734728974672,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,1.9999999999999991,-1,1.0,0.5,0-10 trials
16,39.681984114381784,35.285077567924986,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,2.1999999999999993,-1,1.0,0.5,0-10 trials
17,43.41349057308618,39.016584026629374,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,2.3999999999999995,-1,1.0,0.5,0-10 trials
18,54.43609966726008,50.039193120803276,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,2.599999999999999,-1,1.0,0.5,0-10 trials
19,56.44861759538509,52.05171104892828,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,2.799999999999999,-1,1.0,0.5,0-10 trials
20,58.9146852268778,54.517778680421,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,0,0,,-1.0,2.999999999999999,-1,1.0,0.5,0-10 trials
0,62.081847570428536,-3.364453267233401,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,-1.0,1,1.0,0.5,0-10 trials
1,63.572281255291806,-1.8740195823701313,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,-0.8,1,1.0,0.5,0-10 trials
2,72.92694654963739,7.4806457119754555,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,-0.6000000000000001,1,1.0,0.5,0-10 trials
3,68.72730021165276,3.2809993739908236,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,-0.40000000000000013,1,1.0,0.5,0-10 trials
4,64.2658826806761,-1.1804181569858372,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,-0.20000000000000018,1,1.0,0.5,0-10 trials
5,62.726053789299954,-2.7202470483619834,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,-2.220446049250313e-16,1,1.0,0.5,0-10 trials
6,56.98157391132508,-8.464726926336859,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,0.19999999999999973,1,1.0,0.5,0-10 trials
7,34.7588246534457,-30.687476184216237,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,0.3999999999999997,1,1.0,0.5,0-10 trials
8,41.46586725385278,-23.98043358380916,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,0.5999999999999996,1,1.0,0.5,0-10 trials
9,35.587173296574974,-29.859127541086963,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,0.7999999999999996,1,1.0,0.5,0-10 trials
10,30.49718528867418,-34.949115548987756,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,0.9999999999999996,1,1.0,0.5,0-10 trials
11,36.82393608508695,-28.62236475257499,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,1.1999999999999993,1,1.0,0.5,0-10 trials
12,37.479586802885564,-27.966714034776373,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,1.3999999999999995,1,1.0,0.5,0-10 trials
13,46.20813488606117,-19.23816595160077,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,1.5999999999999996,1,1.0,0.5,0-10 trials
14,46.29209198001607,-19.15420885764587,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,1.7999999999999994,1,1.0,0.5,0-10 trials
15,41.905161032277064,-23.541139805384873,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,1.9999999999999991,1,1.0,0.5,0-10 trials
16,40.214244667390176,-25.23205617027176,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,2.1999999999999993,1,1.0,0.5,0-10 trials
17,23.986723084817,-41.459577752844936,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,2.3999999999999995,1,1.0,0.5,0-10 trials
18,59.74122965174873,-5.705071185913205,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,2.599999999999999,1,1.0,0.5,0-10 trials
19,70.33755139997777,4.891250562315832,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,2.799999999999999,1,1.0,0.5,0-10 trials
20,63.97839834962008,-1.467902488041858,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,1,1,,0.125,2.999999999999999,1,1.0,0.5,0-10 trials
0,40.214244667390176,-21.114190944240605,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,2,2,,-0.25,-1.0,-1,1.0,0.5,0-10 trials
1,23.986723084817,-37.34171252681378,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,2,2,,-0.25,-0.8,-1,1.0,0.5,0-10 trials
2,59.74122965174873,-1.5872059598820485,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,2,2,,-0.25,-0.6000000000000001,-1,1.0,0.5,0-10 trials
3,70.33755139997777,9.009115788346989,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,2,2,,-0.25,-0.40000000000000013,-1,1.0,0.5,0-10 trials
4,63.97839834962008,2.6499627379892985,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,2,2,,-0.25,-0.20000000000000018,-1,1.0,0.5,0-10 trials
5,59.70385971524772,-1.6245758963830639,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,2,2,,-0.25,-2.220446049250313e-16,-1,1.0,0.5,0-10 trials
6,55.80487756392837,-5.523558047702409,7cec9792-b8f9-4878-be7e-f08103dc0323,ZFM-02372,2,2,,-0.25,0.19999999999999973,-1,1.0,0.5,0-10 trials
