time,diameter,baseline_subtracted,trial,trial_after_switch,transition_from,contrast,Stim_side,Feedback_type,probabilityLeft
-1.0,38.180127899615,0.49504129309067296,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
-0.8,37.20499611362422,-0.4800904929001092,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
-0.6000000000000001,37.695363807415816,0.010277200891486827,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
-0.40000000000000013,38.092642179945685,0.4075555734213639,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
-0.20000000000000018,38.02745885364372,0.3423722471193939,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
-2.220446049250313e-16,36.25372715604557,-1.4313594504787526,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
0.19999999999999973,33.8740209241062,-3.811065682418129,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
0.3999999999999997,35.07274237722889,-2.612344229295433,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
0.5999999999999996,39.34919746447071,1.6641108579463917,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
0.7999999999999996,41.31973842217158,3.634651815647257,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
0.9999999999999996,43.553861542497415,5.868774935973088,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
1.1999999999999993,45.029158042520535,7.344071435996208,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
1.3999999999999995,45.63022901590156,7.945142409377233,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
1.5999999999999996,44.703912905187664,7.01882629866334,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
1.7999999999999994,43.09737606399714,5.412289457472812,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
1.9999999999999991,42.28005999562854,4.594973389104219,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
2.1999999999999993,42.81343937665991,5.128352770135586,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
2.3999999999999995,42.996500053277536,5.311413446753215,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
2.599999999999999,42.143911712477866,4.4588251059535375,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
2.799999999999999,40.03430404204411,2.3492174355197837,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
2.999999999999999,37.93963733540823,0.2545507288839027,124.5,34.432,0.355625,-0.044,-0.088,0.064,0.5528000000000001
